user,user_location_country,user_location_region,user_location_city,destination_distance,search_date,is_mobile,is_package,channel,search_count,checkIn_date,checkOut_date,n_adults,n_children,n_rooms,destination,destination_type,hotel_continent,hotel_country,hotel_market,hotel_category,is_booking
531845,205,155,19334,948.0112,2013-01-07 00:19:47,1,1,9,8,2013-01-19,2013-01-23,2,0,1,8250,1,2,50,628,45,0
1081100,66,337,47991,1592.3368,2013-01-07 00:20:13,0,0,2,1,2013-01-10,2013-01-15,2,0,1,11938,1,4,8,126,64,0
1084815,69,648,6514,,2013-01-07 00:20:30,0,1,9,4,2013-03-18,2013-04-01,2,0,1,8268,1,2,50,682,39,0
836947,66,459,43805,2231.663,2013-01-07 00:20:48,0,1,9,2,2013-04-13,2013-04-13,3,2,1,8976,1,4,52,202,52,0
1098664,231,68,42296,,2013-01-07 00:21:21,0,0,9,5,2013-01-22,2013-01-24,2,1,1,669,3,2,50,212,84,0
84417,66,246,40654,,2013-01-07 00:22:31,0,0,9,1,2014-01-08,2014-01-10,1,0,1,19776,6,2,50,212,48,0
68386,198,208,54488,,2013-01-07 00:23:42,0,0,9,1,2013-03-06,2013-03-07,2,1,1,20118,6,3,5,44,85,0
60864,66,462,49272,1843.6192,2013-01-07 00:23:47,0,1,1,1,2013-02-14,2013-02-18,1,0,1,12219,6,4,8,118,7,0
84417,66,246,40654,,2013-01-07 00:23:49,0,0,9,3,2014-01-08,2014-01-10,1,0,1,19776,6,2,50,212,40,0
1084815,69,648,6514,,2013-01-07 00:23:57,0,1,9,2,2013-03-18,2013-04-01,2,0,1,8268,1,2,50,682,51,0
1084816,69,574,32474,,2013-01-07 00:24:11,0,0,9,3,2013-02-24,2013-02-26,3,0,1,24606,6,3,151,80,20,0
1126076,205,155,14703,994.461,2013-01-07 00:24:19,0,1,9,2,2013-02-16,2013-02-19,2,0,1,8250,1,2,50,628,45,0
1121557,66,462,49272,1058.6683,2013-01-07 00:25:43,0,0,9,1,2013-02-23,2013-03-02,2,0,1,12263,6,2,50,368,41,0
294253,69,761,41949,,2013-01-07 00:25:52,0,1,2,2,2013-03-18,2013-03-25,2,0,1,1556,1,5,100,1474,31,0
976118,69,761,41949,,2013-01-07 00:27:36,0,1,3,11,2013-02-15,2013-02-19,2,1,1,1014,1,3,92,168,92,0
1084371,69,639,56293,,2013-01-07 00:27:37,0,0,0,10,2013-02-28,2013-03-01,2,0,1,47900,4,6,70,309,59,0
409569,66,337,14241,183.1422,2013-01-07 00:28:05,1,0,0,1,2013-01-13,2013-01-14,1,0,1,4060,3,2,50,698,15,1
18250,3,50,5703,,2013-01-07 00:28:18,0,0,2,1,2013-03-30,2013-04-01,2,0,1,48157,6,3,126,232,43,0
462955,115,957,17195,,2013-01-07 00:28:23,0,0,5,3,2013-02-11,2013-02-15,4,0,2,8822,1,3,130,91,58,0
261971,182,400,52544,6043.6865,2013-01-07 00:28:37,0,0,9,2,2013-02-07,2013-02-09,2,1,1,22017,6,6,77,1898,53,0
836947,66,459,43805,2241.0178,2013-01-07 00:28:48,0,1,9,1,2013-04-13,2013-04-13,3,2,1,8976,1,4,52,202,63,0
228687,133,25,1503,,2013-01-07 00:28:56,0,1,9,1,2013-02-18,2013-02-23,2,2,2,8821,1,6,17,30,22,1
473260,149,290,33116,,2013-01-07 00:29:04,0,0,9,1,2013-01-24,2013-01-26,2,0,1,23048,1,3,48,152,30,0
10656,205,155,8277,248.6015,2013-01-07 00:29:19,0,0,9,1,2013-04-13,2013-04-15,2,1,1,8288,1,2,198,399,91,0
1084371,69,639,56293,,2013-01-07 00:29:21,0,0,0,21,2013-02-28,2013-03-01,2,0,1,47900,4,6,70,309,15,0
1097089,66,246,3367,20.6946,2013-01-07 00:29:35,0,0,9,1,2013-01-11,2013-01-12,1,0,1,14978,6,2,50,636,4,1
363698,205,354,21728,2378.159,2013-01-07 00:30:15,0,0,9,1,2013-02-09,2013-02-11,2,0,1,12216,6,2,50,365,97,0
1084371,69,639,56293,,2013-01-07 00:30:39,0,0,0,2,2013-02-28,2013-03-01,2,0,1,47900,4,6,70,309,30,0
6777,69,567,41343,,2013-01-07 00:30:42,0,1,1,6,2013-04-20,2013-04-27,2,1,1,468,1,3,48,153,97,0
368084,66,348,48862,1090.0426,2013-01-07 00:30:43,0,1,3,2,2013-03-04,2013-03-08,4,0,1,12227,6,2,50,701,89,0
119414,35,177,33543,1784.9239,2013-01-07 00:30:43,0,0,9,2,2013-01-16,2013-01-17,1,0,1,8264,1,5,108,1568,11,0
762423,205,385,50121,,2013-01-07 00:30:53,0,0,9,1,2013-05-07,2013-05-12,2,1,1,12241,6,6,204,27,68,0
1044327,66,258,4687,554.3539,2013-01-07 00:32:19,0,1,9,3,2013-02-07,2013-02-10,1,0,1,11907,1,2,50,714,59,0
1084371,69,639,56293,,2013-01-07 00:32:36,0,0,0,5,2013-02-28,2013-03-01,2,0,1,47900,4,6,70,309,59,0
285203,231,68,42296,,2013-01-07 00:32:48,0,0,9,1,2013-01-29,2013-01-31,3,0,2,27696,6,2,50,1337,94,0
368084,66,348,48862,1092.4452,2013-01-07 00:33:10,0,1,3,1,2013-03-04,2013-03-08,4,0,1,12227,6,2,50,701,87,0
1190661,231,81,24964,,2013-01-07 00:33:31,1,0,1,9,2013-02-23,2013-02-24,1,0,1,8242,1,3,171,61,3,0
486892,3,50,5703,,2013-01-07 00:34:28,0,0,3,3,2013-02-10,2013-02-12,2,1,1,8740,1,6,105,12,58,0
152417,141,307,9714,,2013-01-07 00:34:48,1,1,0,1,2013-01-24,2013-01-31,2,1,1,9927,1,6,170,11,36,0
467842,195,548,56440,,2013-01-07 00:35:31,0,0,9,1,2013-01-19,2013-01-21,1,2,1,41544,1,0,34,97,33,0
10153,231,68,42296,,2013-01-07 00:36:17,1,1,9,1,2013-01-31,2013-02-01,1,0,1,8221,1,3,99,47,82,1
285203,231,68,42296,,2013-01-07 00:36:27,0,0,9,1,2013-01-29,2013-01-31,3,0,2,438,1,2,50,1337,33,0
1139790,66,220,2086,926.5891,2013-01-07 00:37:33,1,1,9,1,2013-01-25,2013-01-28,2,0,1,8291,1,2,50,191,18,0
1179661,3,60,4699,,2013-01-07 00:37:38,0,0,1,3,2013-03-13,2013-03-14,1,0,1,14908,1,3,88,1032,5,0
368084,66,348,48862,1093.4715,2013-01-07 00:37:49,0,1,3,2,2013-03-04,2013-03-08,4,0,1,44045,3,2,50,701,70,0
1050806,66,220,26044,,2013-01-07 00:38:08,0,0,0,3,2013-09-26,2013-09-30,2,2,1,12210,6,6,70,19,83,0
842137,3,50,5703,,2013-01-07 00:38:31,0,0,9,1,2013-09-16,2013-09-19,2,0,1,12548,5,2,50,212,9,0
976118,69,761,41949,,2013-01-07 00:38:35,0,1,3,2,2013-02-15,2013-02-19,2,1,1,1014,1,3,92,168,38,0
706254,205,354,25315,6889.1576,2013-01-07 00:38:51,0,0,9,1,2013-01-15,2013-01-25,2,1,1,468,1,3,48,153,64,0
113085,66,337,48754,990.0797,2013-01-07 00:39:06,0,1,1,1,2013-01-14,2013-01-17,2,0,1,49090,6,2,50,685,39,0
192988,205,155,13951,5621.4401,2013-01-07 00:40:02,0,0,9,1,2013-08-23,2013-09-04,2,0,1,8818,1,3,99,88,85,0
368084,66,348,48862,1095.0106,2013-01-07 00:40:13,0,1,3,8,2013-03-04,2013-03-08,4,0,1,44045,3,2,50,701,70,0
96278,205,155,13951,2774.9119,2013-01-07 00:40:17,0,1,9,1,2013-01-17,2013-01-24,2,0,1,11353,1,2,50,699,84,0
13796,66,174,21177,5713.7762,2013-01-07 00:41:34,0,0,9,1,2013-01-19,2013-01-26,1,1,1,8821,1,6,17,30,58,0
368084,66,348,48862,1093.561,2013-01-07 00:42:23,0,1,3,11,2013-03-04,2013-03-08,4,0,1,44045,3,2,50,701,41,0
113085,66,337,48754,990.0787,2013-01-07 00:42:32,0,1,1,1,2013-01-14,2013-01-17,2,0,1,49090,6,2,50,685,17,0
294253,69,761,41949,,2013-01-07 00:42:33,0,1,2,1,2013-06-10,2013-06-27,2,0,1,8747,1,3,106,107,42,0
164049,205,135,36086,4375.1518,2013-01-07 00:43:24,0,0,3,1,2013-05-24,2013-05-28,2,0,1,12213,6,6,70,19,98,0
66721,66,174,24103,237.9131,2013-01-07 00:43:35,0,0,1,3,2013-01-08,2013-01-09,2,0,1,12602,5,2,50,628,78,0
631355,66,174,21316,313.806,2013-01-07 00:43:37,0,0,0,1,2013-01-19,2013-01-21,2,1,1,9145,1,2,50,364,7,0
294253,69,761,41949,,2013-01-07 00:43:44,0,1,2,1,2013-06-10,2013-06-27,2,0,1,8747,1,3,106,107,10,0
563376,66,174,5938,2.6539,2013-01-07 00:43:49,0,0,9,1,2013-01-07,2013-01-09,2,0,1,8278,1,2,50,368,48,1
694091,69,566,49966,,2013-01-07 00:44:03,0,1,9,2,2013-01-20,2013-01-23,1,0,1,8741,1,6,144,13,47,0
1050806,66,220,26044,,2013-01-07 00:45:39,0,0,0,6,2013-09-26,2013-09-30,2,2,1,12210,6,6,70,19,11,0
616447,66,258,42500,1645.0935,2013-01-07 00:45:51,0,0,9,2,2013-02-02,2013-02-03,3,1,1,29211,4,2,50,1630,73,0
692110,149,290,33116,,2013-01-07 00:46:36,0,1,9,1,2013-02-22,2013-02-28,2,0,1,1725,1,3,182,1493,30,0
13796,66,174,21177,5712.8097,2013-01-07 00:46:53,0,0,9,1,2013-01-19,2013-01-26,1,1,1,8821,1,6,17,30,46,0
19385,3,48,25460,,2013-01-07 00:47:05,0,0,9,6,2013-08-25,2013-08-26,2,2,1,783,1,3,5,98,82,0
1170845,77,462,3492,10913.5446,2013-01-07 00:48:55,0,0,1,1,2013-05-28,2013-05-30,1,0,1,12275,6,2,50,414,91,1
1190661,231,81,24964,,2013-01-07 00:49:01,1,0,1,5,2013-02-23,2013-02-24,1,0,1,8242,1,3,171,61,16,0
516976,23,48,4924,,2013-01-07 00:49:18,0,0,9,1,2013-05-17,2013-05-19,2,0,1,31739,4,3,106,108,41,0
19385,3,48,25460,,2013-01-07 00:49:22,0,0,9,2,2013-08-25,2013-08-26,2,2,1,783,1,3,5,98,63,0
762423,205,385,50121,,2013-01-07 00:49:27,0,0,9,6,2013-05-07,2013-05-12,2,1,1,12241,6,6,204,27,58,0
844983,66,174,42586,45.2179,2013-01-07 00:50:03,0,0,9,2,2013-02-16,2013-02-17,2,0,1,8835,1,2,50,357,34,0
66721,66,174,24103,227.5521,2013-01-07 00:50:34,0,0,1,4,2013-01-17,2013-01-18,2,0,1,12602,5,2,50,628,79,0
844983,66,174,42586,45.6444,2013-01-07 00:50:52,0,0,9,3,2013-02-16,2013-02-17,2,0,1,8835,1,2,50,357,90,0
13796,66,174,21177,5712.7625,2013-01-07 00:50:58,0,0,9,3,2013-01-19,2013-01-26,1,1,1,8821,1,6,17,30,64,0
836947,66,459,43805,736.6836,2013-01-07 00:51:22,0,1,9,2,2013-06-30,2013-07-05,3,2,1,11319,1,2,50,681,47,0
1154667,3,83,22548,,2013-01-07 00:51:42,0,0,9,2,2013-01-12,2013-01-13,1,0,1,552,1,3,106,331,61,0
616447,66,258,42500,1644.0531,2013-01-07 00:52:25,0,0,9,1,2013-02-02,2013-02-03,3,1,1,29211,4,2,50,1630,44,0
314929,205,135,27655,3484.4007,2013-01-07 00:53:00,0,0,9,2,2013-02-10,2013-02-16,1,0,1,12839,5,4,51,197,53,0
204066,66,189,17017,2195.4787,2013-01-07 00:53:42,1,1,9,1,2013-01-31,2013-02-11,1,0,1,8272,1,2,50,659,15,0
58305,63,480,38276,139.1247,2013-01-07 00:53:55,1,1,0,3,2013-01-11,2013-02-11,1,0,1,22076,6,6,46,1463,83,0
486892,3,50,5703,,2013-01-07 00:54:01,0,0,3,1,2013-02-08,2013-02-10,2,1,1,8746,1,6,105,29,43,0
13796,66,174,21177,5712.9062,2013-01-07 00:54:25,0,0,9,1,2013-01-19,2013-01-26,1,1,1,8821,1,6,17,30,58,0
836947,66,459,43805,751.0007,2013-01-07 00:54:52,0,1,9,2,2013-06-30,2013-07-05,3,2,1,11319,1,2,50,681,40,0
1159130,66,448,45508,768.593,2013-01-07 00:55:04,0,1,9,1,2013-04-17,2013-04-25,2,0,1,8268,1,2,50,682,91,0
204066,66,189,17017,2188.5618,2013-01-07 00:55:05,1,1,9,1,2013-01-31,2013-02-11,1,0,1,8272,1,2,50,659,42,0
706254,205,354,25315,6885.4423,2013-01-07 00:55:40,0,0,9,2,2013-01-15,2013-01-25,2,1,1,468,1,3,48,153,46,0
368084,66,348,48862,1092.4452,2013-01-07 00:55:41,0,0,3,2,2013-03-04,2013-03-06,4,0,1,12227,6,2,50,701,87,0
1190661,231,81,24964,,2013-01-07 00:55:46,1,0,1,1,2013-02-23,2013-02-24,1,0,1,8242,1,3,171,61,60,0
68291,66,448,53078,828.4407,2013-01-07 00:56:33,0,1,9,3,2013-03-07,2013-03-10,2,0,1,8260,1,2,50,701,56,0
659974,66,462,49272,2429.4728,2013-01-07 00:56:50,0,0,0,1,2013-01-28,2013-01-31,2,0,1,11569,1,2,50,623,21,0
117774,50,772,47609,,2013-01-07 00:57:07,1,0,5,2,2013-01-08,2013-01-09,2,0,1,42209,1,3,82,329,57,0
204066,66,189,17017,2191.2269,2013-01-07 00:57:30,1,1,9,1,2013-01-31,2013-02-11,1,0,1,8272,1,2,50,659,54,0
568988,93,71,15362,,2013-01-07 00:57:44,0,0,9,2,2013-01-30,2013-02-02,2,1,1,21317,6,6,107,822,64,0
314929,205,135,27655,3493.3277,2013-01-07 00:58:23,0,0,9,3,2013-02-10,2013-02-16,1,0,1,12839,5,4,51,1509,26,0
1189249,69,668,22991,,2013-01-07 00:59:45,0,0,9,1,2013-02-11,2013-02-13,2,0,1,8745,1,6,204,27,11,1
486892,3,50,5703,,2013-01-07 00:59:56,0,0,3,1,2013-02-08,2013-02-10,2,1,1,8746,1,6,105,29,43,1
1182556,1,436,21686,237.412,2013-01-07 01:00:12,0,0,9,1,2013-01-28,2013-01-31,2,0,1,23871,6,6,105,1822,58,0
1084371,69,639,56293,,2013-01-07 01:00:27,0,0,0,1,2013-02-28,2013-03-01,2,0,1,47900,4,6,70,309,50,0
692110,149,290,33116,,2013-01-07 01:00:28,0,1,9,5,2013-02-22,2013-02-27,2,0,1,21222,1,3,152,73,27,0
568988,93,71,15362,,2013-01-07 01:00:46,0,0,9,1,2013-02-04,2013-02-08,2,1,1,21317,6,6,107,822,64,0
204066,66,189,17017,2187.3661,2013-01-07 01:00:55,1,1,9,1,2013-01-31,2013-02-11,1,0,1,8272,1,2,50,659,48,0
568988,93,71,15362,,2013-01-07 01:01:51,0,0,9,2,2013-01-25,2013-01-28,2,1,1,21317,6,6,107,822,64,0
692110,149,290,33116,,2013-01-07 01:02:00,0,1,9,1,2013-02-22,2013-02-27,2,0,1,21222,1,3,152,73,27,0
224692,3,50,5703,,2013-01-07 01:02:04,0,0,0,2,2013-08-25,2013-08-26,4,0,2,51615,1,3,130,66,85,0
626492,29,194,28215,,2013-01-07 01:02:07,0,1,9,1,2013-02-14,2013-02-20,2,1,1,18788,1,5,203,253,44,0
648231,115,957,17195,,2013-01-07 01:02:08,0,0,9,1,2013-01-24,2013-01-25,2,1,1,8220,1,3,182,46,46,0
385172,66,174,18037,7444.5472,2013-01-07 01:02:55,0,0,9,1,2013-01-22,2013-01-24,1,0,1,13747,4,0,63,1258,98,0
1050806,66,220,26044,,2013-01-07 01:03:02,0,0,0,3,2013-09-27,2013-09-30,2,2,1,12210,6,6,70,19,11,0
1153820,69,844,22970,,2013-01-07 01:03:08,0,0,0,2,2013-01-15,2013-01-17,1,0,1,8253,1,6,70,19,50,0
1159130,66,448,45508,768.0191,2013-01-07 01:03:21,0,1,9,1,2013-04-17,2013-04-25,2,0,1,8268,1,2,50,682,48,0
1050806,66,220,26044,,2013-01-07 01:03:28,0,0,0,2,2013-09-27,2013-10-01,2,2,1,12210,6,6,70,19,11,0
598076,70,47,14566,,2013-01-07 01:03:47,0,0,9,1,2013-01-12,2013-01-13,8,1,4,8220,1,3,182,46,64,0
1153820,69,844,22970,,2013-01-07 01:03:57,0,0,0,2,2013-01-16,2013-01-18,1,0,1,8253,1,6,70,19,50,0
1083615,69,812,12302,,2013-01-07 01:04:10,0,1,4,1,2013-11-22,2013-11-27,2,0,1,8267,1,2,50,675,55,0
1188626,3,51,41641,,2013-01-07 01:04:43,1,0,1,2,2013-01-22,2013-01-23,2,0,1,42282,6,3,106,782,3,0
186070,1,145,15028,,2013-01-07 01:04:50,1,0,9,5,2013-01-07,2013-01-08,2,0,1,21788,6,6,105,29,61,0
1084371,69,639,56293,,2013-01-07 01:04:56,0,0,0,2,2013-02-28,2013-03-02,2,0,1,47900,4,6,70,309,15,0
486892,3,50,5703,,2013-01-07 01:05:04,0,0,3,1,2013-02-13,2013-02-16,2,1,1,8788,1,6,77,2,9,0
245799,3,51,9527,,2013-01-07 01:05:13,0,1,0,1,2013-03-03,2013-03-03,2,0,1,8745,1,6,204,27,30,0
1188626,3,51,41641,,2013-01-07 01:05:23,1,0,1,1,2013-01-29,2013-01-30,2,0,1,42282,6,3,106,782,44,0
1109854,66,174,49211,550.3337,2013-01-07 01:05:47,0,1,9,5,2013-01-29,2013-02-03,2,0,1,8272,1,2,50,659,6,0
812462,66,174,26232,416.5872,2013-01-07 01:06:27,1,0,9,1,2013-06-20,2013-06-24,2,0,1,12206,6,2,50,628,45,0
648566,66,174,9890,8242.1807,2013-01-07 01:08:04,0,0,1,1,2013-04-18,2013-04-22,2,0,1,53146,1,3,141,1195,64,0
337690,69,923,48939,,2013-01-07 01:08:09,0,0,9,1,2013-01-11,2013-01-16,1,0,1,12916,5,6,107,36,97,0
812462,66,174,26232,416.475,2013-01-07 01:08:41,1,0,9,1,2013-06-20,2013-06-24,2,0,1,12206,6,2,50,628,24,0
283970,66,246,50661,2757.8656,2013-01-07 01:09:42,0,0,0,3,2013-05-26,2013-05-28,2,0,1,8250,1,2,50,628,88,0
812462,66,174,26232,416.4,2013-01-07 01:10:17,1,0,9,1,2013-06-20,2013-06-24,2,0,1,12206,6,2,50,628,24,0
1003881,1,318,2096,4943.9443,2013-01-07 01:11:16,0,0,0,11,2013-02-13,2013-02-17,4,2,2,44045,3,2,50,701,70,0
812462,66,174,26232,416.7199,2013-01-07 01:11:25,1,0,9,1,2013-06-20,2013-06-24,2,0,1,12206,6,2,50,628,1,0
540696,215,646,51733,1835.8226,2013-01-07 01:12:03,0,0,9,1,2013-07-15,2013-07-19,1,0,1,11939,1,2,50,694,14,0
694091,69,566,49966,,2013-01-07 01:12:18,0,1,9,2,2013-01-20,2013-01-23,1,0,1,8741,1,6,144,13,14,0
692110,149,290,33116,,2013-01-07 01:12:28,0,1,9,2,2013-02-22,2013-02-27,2,0,1,21222,1,3,152,73,27,0
337690,69,923,48939,,2013-01-07 01:12:36,0,0,9,3,2013-01-11,2013-01-13,1,0,1,12916,5,6,107,36,97,0
692110,149,290,33116,,2013-01-07 01:13:09,0,1,9,5,2013-02-22,2013-02-27,2,0,1,21222,1,3,152,73,74,0
692110,149,290,33116,,2013-01-07 01:13:24,0,1,9,2,2013-02-22,2013-02-27,2,0,1,21222,1,3,152,73,74,0
119414,35,177,33543,2650.4725,2013-01-07 01:14:19,0,0,9,1,2013-01-17,2013-01-19,1,0,1,18788,1,5,203,253,61,1
138082,80,39,16563,,2013-01-07 01:15:01,0,0,9,2,2013-01-13,2013-01-20,2,0,1,468,1,3,48,153,21,0
1166542,3,45,35747,,2013-01-07 01:15:20,0,0,0,1,2013-01-14,2013-01-19,1,0,1,12233,6,2,50,675,55,0
385172,66,174,18037,7443.7713,2013-01-07 01:15:23,0,0,9,4,2013-01-22,2013-01-24,1,0,1,13747,4,0,63,1258,5,0
692110,149,290,33116,,2013-01-07 01:15:56,0,1,9,7,2013-02-22,2013-02-27,2,0,1,21222,1,3,152,73,27,0
